id,original_url,source_page,original_filename,local_path,size_bytes,format,category,classification,language_context,alt_text,visual_subject,current_usage,rights_or_provenance_note,replacement_strategy,replacement_asset,status
CBOS-AST-0338,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_557.jpg?itok=GAP9CihW,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_557.jpg,cbos-source-assets/original/other/other_338_CBOS%20logo%20Black_6_557.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 557.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0339,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_556.jpg?itok=vlqEVoGY,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_556.jpg,cbos-source-assets/original/other/other_339_CBOS%20logo%20Black_6_556.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 556.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0340,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_555.jpg?itok=7Lh7khFU,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_555.jpg,cbos-source-assets/original/other/other_340_CBOS%20logo%20Black_6_555.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 555.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0341,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_554.jpg?itok=cM_1COqL,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_554.jpg,cbos-source-assets/original/other/other_341_CBOS%20logo%20Black_6_554.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 554.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0342,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_553.jpg?itok=V3trY9nN,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_553.jpg,cbos-source-assets/original/other/other_342_CBOS%20logo%20Black_6_553.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 553.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0343,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_552.jpg?itok=hBABmsDE,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_552.jpg,cbos-source-assets/original/other/other_343_CBOS%20logo%20Black_6_552.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 552.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0344,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_551.jpg?itok=cqlBkvaq,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_551.jpg,cbos-source-assets/original/other/other_344_CBOS%20logo%20Black_6_551.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 551.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0345,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_550.jpg?itok=vTJWly-j,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_550.jpg,cbos-source-assets/original/other/other_345_CBOS%20logo%20Black_6_550.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 550.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0346,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_549.jpg?itok=y5y1G3bk,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_549.jpg,cbos-source-assets/original/other/other_346_CBOS%20logo%20Black_6_549.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 549.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0347,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_548.jpg?itok=vMvcDNDT,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_548.jpg,cbos-source-assets/original/other/other_347_CBOS%20logo%20Black_6_548.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 548.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0348,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_547.jpg?itok=OHjNPSdc,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_547.jpg,cbos-source-assets/original/other/other_348_CBOS%20logo%20Black_6_547.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 547.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0349,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_546.jpg?itok=TtNwDLIx,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_546.jpg,cbos-source-assets/original/other/other_349_CBOS%20logo%20Black_6_546.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 546.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0350,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_545.jpg?itok=f_BzTcOX,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_545.jpg,cbos-source-assets/original/other/other_350_CBOS%20logo%20Black_6_545.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 545.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0351,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_544.jpg?itok=cbvKu7gX,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_544.jpg,cbos-source-assets/original/other/other_351_CBOS%20logo%20Black_6_544.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 544.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0352,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_51.jpg?itok=qj0Wkqez,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_51.jpg,cbos-source-assets/original/other/other_352_CBOS%20logo%20Black_6_256_51.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 51.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0353,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_542.jpg?itok=S1l5dDDI,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_542.jpg,cbos-source-assets/original/other/other_353_CBOS%20logo%20Black_6_542.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 542.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0354,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_541.jpg?itok=xCsNxVns,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_541.jpg,cbos-source-assets/original/other/other_354_CBOS%20logo%20Black_6_541.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 541.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0355,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_540.jpg?itok=QOHIa0da,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_540.jpg,cbos-source-assets/original/other/other_355_CBOS%20logo%20Black_6_540.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 540.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0356,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_539.jpg?itok=Qd7eTeW6,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_539.jpg,cbos-source-assets/original/other/other_356_CBOS%20logo%20Black_6_539.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 539.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
